key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,1,1,,,11592.1681,13,up,0.6023,11592.7998,1,0.3,"[2,3,1]",0.038671801,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,1,1,,,11594.093,14,up,2.3841,11596.5094,1.5,0.3,"[2,3,1]",0.410429795,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11598.3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[500],0,0,0,0,1
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",11603.3113,0,up,1.5166,11604.8502,1.5,0.3,"[1,2,3]",0.419032307,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,2,5,,,11606.6429,1,up,0.6029,11607.2673,1,0.3,"[1,2,3]",0.259865244,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,2,5,,,11608.5605,2,right,0.6002,11609.1814,1.5,0.3,"[1,2,3]",0.19924651,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,2,5,,,11610.9732,3,up,1.1278,11612.1123,1,0.3,"[1,2,3]",0.916612235,stimuli/card_10_transparent.png,10,3,0,3,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,2,5,,,11613.4045,4,up,0.5704,11613.9889,0.5,0.3,"[1,2,3]",0.171381657,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,2,5,,,11614.7835,5,up,0.5006,11615.3086,0.5,0.3,"[3,1,2]",0.947802889,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,2,5,,,11616.1037,6,up,4.2278,11620.3618,1,0.3,"[3,1,2]",0.05272191,stimuli/card_0_transparent.png,0,6,0,6,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,2,5,,,11621.6521,7,up,4.5157,11626.1798,0.5,0.3,"[3,1,2]",0.304841408,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,
,,,,emberdebug,B,2024-08-15_16h04.30.061,Slot Machine Game,2023.1.3,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,2,5,,,11626.9729,8,up,0.6389,11627.6237,0.5,0.3,"[3,1,2]",0.878407786,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,
