key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",reward_Img,Cuml_rew,currentPracticeTrialReward,text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.4757,up,1,0.3,10,0,10,0,1,0.0946,,"[3,1,2]",0.502636589,stimuli/card_100_transparent.png,510,100,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.892,up,1,0.3,11,0,11,0,1,0.1953,,"[3,1,2]",0.022881043,stimuli/card_0_transparent.png,510,0,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.4079,up,0.5,0.3,12,0,12,0,1,0.1221,,"[3,1,2]",0.09345628,stimuli/card_0_transparent.png,510,0,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.3403,up,1,0.3,13,0,13,0,1,0.2772,,"[3,1,2]",0.443397166,stimuli/card_100_transparent.png,610,100,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.9249,up,1.5,0.3,14,0,14,0,1,0.3695,,"[3,1,2]",0.169466722,stimuli/card_10_transparent.png,620,10,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",507.1015,,0.5,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.6181,,1,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.7429,,1.5,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.2573,,1.5,0.3,3,0,3,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.969,,1,0.3,4,0,4,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360.8192,,1.5,0.3,5,0,5,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730.1909,,1,0.3,6,0,6,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4227.9151,,1,0.3,7,0,7,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4233.424,,1,0.3,8,0,8,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238.9275,,1,0.3,9,0,9,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244.4303,,1.5,0.3,10,0,10,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.9349,,1.5,0.3,11,0,11,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26389.7312,,1,0.3,12,0,12,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61781.6372,,1,0.3,13,0,13,0,1,,,,,,,,,,,,
,,,,,2023-10-30_10h39.05.505,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62624.2006,,0.5,0.3,14,0,14,0,1,,,,,,,,,,,,
