key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,Main_presentationInterval,rewardPresentationTime,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,259.1062,,,,1,,,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,264.6337,,,,1.5,,,,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.1583,space,20.0855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.2532,3,"[0,4,6,3,5,7,8,1,9,2]",290.2532,space,28.7661,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12,15]","[[2,1,3],[2,3,1]]",319.0581,,1,0.3,0,0,0,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.5896,,1.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.1245,,1.5,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.6509,2,0.5,0.3,3,0,3,0,1,3.7931,,"[2,1,3]",0.109033452,stimuli/card_10_transparent.png,10,10,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.2535,2,1.5,0.3,4,0,4,0,1,0.001,,"[2,1,3]",0.327713959,stimuli/card_100_transparent.png,110,100,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0686,3,1,0.3,5,0,5,0,1,0.666,,"[2,1,3]",0.799508319,stimuli/card_0_transparent.png,110,0,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0509,3,1,0.3,6,0,6,0,1,0.4714,,"[2,1,3]",0.115350809,stimuli/card_10_transparent.png,120,10,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.8319,,1.5,0.3,7,0,7,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.3503,,0.5,0.3,8,0,8,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.8768,,1,0.3,9,0,9,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.4038,,1,0.3,10,0,10,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.9195,,1,0.3,11,0,11,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4397,up,0.5,0.3,12,0,12,0,1,1.8933,,"[2,3,1]",0.370955367,stimuli/card_0_transparent.png,120,0,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.1483,,1.5,0.3,13,0,13,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.6694,,0.5,0.3,14,0,14,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,387.1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,15]","[[1,2,3],[3,1,2]]",392.212,left,1.5,0.3,0,0,0,0,1,0.121,,"[1,2,3]",0.443022957,stimuli/card_100_transparent.png,100,100,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.1486,,1.5,0.3,1,0,1,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.7001,,1.5,0.3,2,0,2,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0458,,1,0.3,3,0,3,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.5615,,0.5,0.3,4,0,4,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.0773,,1.5,0.3,5,0,5,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.6113,,0.5,0.3,6,0,6,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.3026,,1,0.3,7,0,7,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.8113,,1.5,0.3,8,0,8,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.3222,,1.5,0.3,9,0,9,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.3356,,1,0.3,10,0,10,0,1,,,,,,,,,,,,
,,,,,2023-10-05_10h37.47.204,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.9454,,0.5,0.3,11,0,11,0,1,,,,,,,,,,,,
