key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.0745,up,0.437,,1.5,0.3,"[3,1,2]",0.643854314,stimuli/card_100_transparent.png,510,100,8,0,8,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.4161,up,0.4869,,0.5,0.3,"[3,1,2]",0.335965752,stimuli/card_100_transparent.png,610,100,9,0,9,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.6956,up,0.3069,,1.5,0.3,"[3,1,2]",0.32397377,stimuli/card_100_transparent.png,710,100,10,0,10,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.9064,up,0.3195,,1,0.3,"[3,1,2]",0.102806077,stimuli/card_10_transparent.png,720,10,11,0,11,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.6355,up,0.4062,,1.5,0.3,"[3,1,2]",0.744771635,stimuli/card_100_transparent.png,820,100,12,0,12,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.8772,up,0.3061,,1.5,0.3,"[3,1,2]",0.187785086,stimuli/card_10_transparent.png,830,10,13,0,13,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279.0133,up,0.5156,,0.5,0.3,"[3,1,2]",0.871295185,stimuli/card_100_transparent.png,930,100,14,0,14,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",1285.448,left,1.6358,,0.5,0.3,"[1,2,3]",0.377804117,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.8845,left,0.4393,,1.5,0.3,"[1,2,3]",0.819810906,stimuli/card_100_transparent.png,200,100,1,0,1,0,1,,,,,
