key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_presentationInterval,reward_presentation_time,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,main_trial_rt,main_trial_duration,main_reward_seq,reward_rand_val,main_reward_img,current_reward,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,237.7508,3,1.166,,left,1,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,240.7842,4,0.6119,,left,1.5,,stimuli/card_100_transparent.png,500,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,243.7506,5,0.5455,,left,1,,stimuli/card_100_transparent.png,600,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,246.1506,6,0.6367,,left,0.5,,stimuli/card_0_transparent.png,600,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,248.1504,7,0.2847,,right,1,,stimuli/card_10_transparent.png,610,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,250.2505,8,0.3524,,up,1,,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,252.4508,9,0.6203,,up,0.5,,stimuli/card_100_transparent.png,810,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,254.4172,10,0.3169,,up,1,,stimuli/card_0_transparent.png,810,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,256.5838,11,0.3711,,left,1.5,,stimuli/card_0_transparent.png,810,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,259.3162,12,0.1357,,right,0.5,,stimuli/card_10_transparent.png,820,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,260.7827,13,0.1317,,up,1,,stimuli/card_100_transparent.png,920,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,262.7505,14,0.0685,,up,1,,stimuli/card_0_transparent.png,920,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.6837,,,269.6834,space,60.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.7823,3,"[0,4,6,3,5,7,8,1,9,2]",space,7.2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
