key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,204.8091,5,2.6456,207.4763,up,1.5,,stimuli/card_0_transparent.png,140,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,209.2766,6,0.6581,209.9417,up,0.5,,stimuli/card_100_transparent.png,240,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,210.7357,7,4.8953,215.6412,up,1.5,,stimuli/card_100_transparent.png,340,100,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,217.4425,8,0.5721,218.0402,up,1,,stimuli/card_100_transparent.png,440,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,219.3274,9,1.8608,221.2052,up,0.5,,stimuli/card_100_transparent.png,540,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,222.0063,10,0.6166,222.6376,up,0.5,,stimuli/card_100_transparent.png,640,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,223.4384,11,0.513,223.9704,up,1,,stimuli/card_100_transparent.png,740,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,225.2709,12,0.5897,225.8705,up,1.5,,stimuli/card_100_transparent.png,840,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,227.6716,13,1.3948,229.086,left,0.5,,stimuli/card_0_transparent.png,840,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,229.8838,14,0.5169,230.4205,left,1.5,,stimuli/card_10_transparent.png,850,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2206,,,237.2197,space,415.6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.9059,2,"[2,4,8,0,1,3,9,6,8,5]",space,0.9206,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",653.8429,0,up,0.86,654.7384,1,0.3,"[3,1,2]",0.613606088,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,1,3,,,656.0559,1,up,0.6283,656.7051,1.5,0.3,"[3,1,2]",0.470545283,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,3,,,658.5046,2,right,0.6731,659.2044,0.5,0.3,"[3,1,2]",0.950304927,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,3,,,659.9953,3,left,0.5629,660.5704,1.5,0.3,"[3,1,2]",0.645864558,stimuli/card_0_transparent.png,0,3,0,3,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,3,,,662.3625,4,up,0.6876,663.0708,0.5,0.3,"[3,1,2]",0.694911135,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,1,3,,,663.8718,5,up,0.5634,664.4526,1,0.3,"[3,1,2]",0.7513374,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,1,3,,,665.7576,6,up,0.6582,666.4356,1.5,0.3,"[3,1,2]",0.272276554,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,1,3,,,668.235,7,up,0.5059,668.7518,1.5,0.3,"[3,1,2]",0.837664501,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,1,3,,,670.5573,8,up,0.6002,671.1846,1,0.3,"[3,1,2]",0.339230785,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,
