participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.7571,up,0.309,,0.5,"[2,1,3]",0.664477268,stimuli/card_100_transparent.png,930,100,12,0,12,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.8917,up,0.4432,,1,"[2,1,3]",0.004692772,stimuli/card_0_transparent.png,930,0,13,0,13,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.657,up,0.308,,0.5,"[2,1,3]",0.395002901,stimuli/card_100_transparent.png,1030,100,14,0,14,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.7824,0,0,0,0,1
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""12,15"",""6,15"",""15,15"",""7,15"",""5,15"",""4,10,15"",""9,15"",""11,15"",""8,15"",""10,15""]","6,15","[""12,15"",""6,15"",""15,15"",""7,15"",""5,15"",""4,10,15"",""9,15"",""11,15"",""8,15"",""10,15""]",533.7816,up,4.2384,,0.5,"[1,3,2]",0.239677222,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.8362,up,0.8376,,1.5,"[1,3,2]",0.824595455,stimuli/card_0_transparent.png,0,0,1,0,1,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.4876,right,0.3675,,0.5,"[1,3,2]",0.987501882,stimuli/card_10_transparent.png,10,10,2,0,2,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.6714,left,0.1202,,1.5,"[1,3,2]",0.928675978,stimuli/card_100_transparent.png,110,100,3,0,3,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.6203,left,0.3059,,0.5,"[1,3,2]",0.838604472,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.7532,left,0.2371,,0.5,"[1,3,2]",0.379566988,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.8219,left,0.2275,,1,"[1,3,2]",0.168764451,stimuli/card_10_transparent.png,320,10,6,0,6,0,1,,,,,,
,2023-09-07_11h02.09.938,slotMachine_updated,2023.1.3,MacIntel,60.00240012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.3612,left,0.3555,,1.5,"[1,3,2]",0.213108623,stimuli/card_100_transparent.png,420,100,7,0,7,0,1,,,,,,
