key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,205.9501,8,0.1405,,right,1.5,,stimuli/card_10_transparent.png,230,10,8,0,8,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,207.8988,9,0.0662,,up,0.5,,stimuli/card_10_transparent.png,240,10,9,0,9,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,208.7804,10,0.1001,,up,0.5,,stimuli/card_100_transparent.png,340,100,10,0,10,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,209.6971,11,0.0867,,right,0.5,,stimuli/card_0_transparent.png,340,0,11,0,11,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,210.5962,12,0.0141,,up,0.5,,stimuli/card_100_transparent.png,440,100,12,0,12,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,211.4269,13,0.0365,,up,1.5,,stimuli/card_100_transparent.png,540,100,13,0,13,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,213.2742,14,0.0586,,up,1,,stimuli/card_0_transparent.png,540,0,14,0,14,0,1,,,,,,,,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.6416,,,219.6473,space,1.0754,,,,,,,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.7445,3,"[0,4,6,3,5,7,8,1,9,2]",space,0.6752,
,,,,1C,B,2024-01-02_11h09.33.307,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
