key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,group_id,path_id,date,expName,psychopyVersion,OS,frameRate,study_id,session_id,prolific_pid,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,283.9828,3,0.5807,,left,1,,stimuli/card_100_transparent.png,400,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,285.8825,4,0.5467,,left,1,,stimuli/card_10_transparent.png,410,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,287.7498,5,1.4785,,left,1.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,291.0528,6,0.9286,,left,1,,stimuli/card_0_transparent.png,510,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,293.3036,7,2.497,,right,0.5,,stimuli/card_10_transparent.png,520,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,296.6207,8,2.2616,,right,1.5,,stimuli/card_100_transparent.png,620,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,300.7085,9,0.7956,,right,1,,stimuli/card_10_transparent.png,630,10,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,302.8248,10,1.2298,,up,1.5,,stimuli/card_100_transparent.png,730,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,305.8784,11,0.3613,,up,1,,stimuli/card_100_transparent.png,830,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,307.561,12,0.2129,,up,1,,stimuli/card_100_transparent.png,930,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
