participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,210.3703,up,1.0189,,1.5,,stimuli/card_10_transparent.png,930,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,213.2154,up,0.4715,,1,,stimuli/card_100_transparent.png,1030,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,215.0143,up,0.4442,,1.5,,stimuli/card_100_transparent.png,1130,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.2671,1,0,1,0,1,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,[15],"[[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,222.2642,up,1.5766,,1,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,225.1596,right,2.0503,,1.5,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,229.025,up,0.7668,,1,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,231.1241,left,0.5454,,1.5,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,233.4895,right,0.5314,,0.5,,stimuli/card_10_transparent.png,120,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,234.834,right,0.3689,,1,,stimuli/card_10_transparent.png,130,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,236.5346,right,0.4241,,0.5,,stimuli/card_10_transparent.png,140,10,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,237.7717,up,0.6641,,1.5,,stimuli/card_0_transparent.png,140,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,240.2527,up,0.6774,,1,,stimuli/card_100_transparent.png,240,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,242.2501,up,0.7197,,1.5,,stimuli/card_100_transparent.png,340,100,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,244.7963,up,0.6142,,1,,stimuli/card_0_transparent.png,340,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,246.7275,up,0.3668,,0.5,,stimuli/card_10_transparent.png,350,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,247.9169,up,0.4234,,1.5,,stimuli/card_10_transparent.png,360,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,250.1634,up,0.2943,,0.5,,stimuli/card_100_transparent.png,460,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,251.2784,up,0.4248,,1,,stimuli/card_0_transparent.png,460,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0264,space,6.3467,,,,,,,,
,2023-09-27_18h01.39.508,slotMachine_updated,2023.1.3,MacIntel,60.06006007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.391,2,"[2,4,8,0,1,3,9,6,8,5]",259.391,space,1.8487,
