participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.9244,up,0.5334,,1.5,0.3,"[2,1,3]",0.184626713,stimuli/card_10_transparent.png,130,10,3,0,3,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.2762,up,0.6844,,0.5,0.3,"[2,1,3]",0.747461165,stimuli/card_100_transparent.png,230,100,4,0,4,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7937,up,0.4947,,1,0.3,"[2,1,3]",0.8810319,stimuli/card_100_transparent.png,330,100,5,0,5,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.6118,up,0.5715,,1,0.3,"[2,1,3]",0.624693263,stimuli/card_100_transparent.png,430,100,6,0,6,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.5138,up,0.6166,,1.5,0.3,"[2,1,3]",0.875074823,stimuli/card_100_transparent.png,530,100,7,0,7,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9495,up,0.7513,,1.5,0.3,"[2,1,3]",0.461150694,stimuli/card_100_transparent.png,630,100,8,0,8,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.5367,up,0.4096,,0.5,0.3,"[2,1,3]",0.046040107,stimuli/card_0_transparent.png,630,0,9,0,9,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.77,up,0.6671,,0.5,0.3,"[2,1,3]",0.628382176,stimuli/card_100_transparent.png,730,100,10,0,10,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.2728,up,0.3856,,1.5,0.3,"[2,1,3]",0.801536405,stimuli/card_100_transparent.png,830,100,11,0,11,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4784,up,0.4736,,0.5,0.3,"[2,3,1]",0.030113883,stimuli/card_100_transparent.png,930,100,12,0,12,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.7762,up,0.3858,,0.5,0.3,"[2,3,1]",0.962135061,stimuli/card_0_transparent.png,930,0,13,0,13,0,1,,,,,
