key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,177.6423,right,0.2358,,0.5,,stimuli/card_10_transparent.png,220,10,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,178.692,right,0.0157,,0.5,,stimuli/card_0_transparent.png,220,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,179.5265,right,0.1503,,1.5,,stimuli/card_10_transparent.png,230,10,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,181.4922,up,0.5504,,1.5,,stimuli/card_100_transparent.png,330,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,183.8576,up,0.1673,,1,,stimuli/card_0_transparent.png,330,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,185.3385,,,,1.5,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,190.8693,up,0.5522,,1.5,,stimuli/card_10_transparent.png,340,10,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,193.2358,up,0.3313,,1,,stimuli/card_0_transparent.png,340,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,194.8842,right,0.2934,,1.5,,stimuli/card_100_transparent.png,440,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-05_16h22.23.237,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,196.9992,right,0.2474,,1.5,,stimuli/card_100_transparent.png,540,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
