key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,mainConditions,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,245.605,4,,,,1,"[1,3,2]",,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,251.1174,5,,,,0.5,"[1,3,2]",,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,256.6295,6,,,,0.5,"[3,1,2]",,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,262.1409,7,,,,1,"[3,1,2]",,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,267.6507,8,,,,0.5,"[3,1,2]",,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,273.1619,9,,,,1,"[3,1,2]",,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,278.6754,10,,,,1.5,"[3,1,2]",,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,284.1866,11,,,,0.5,"[3,1,2]",,,,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,289.698,12,,,,1.5,"[3,1,2]",,,,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,295.2079,13,,,,1.5,"[3,1,2]",,,,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,300.7203,14,,,,1,"[3,1,2]",,,,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.2326,311.2284,space,17.9148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.16,2,"[2,4,7,0,1,3,9,6,8,5]",space,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,"[[12,15],[6,15],[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]",1,3,"[15,15]","[[3,1,2],[3,1,2]]",330.6572,0,up,0.7243,331.4076,0.5,0.3,"[3,1,2]",0.745688195,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,
