key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,191.7825,4,0.5721,192.3752,left,1.5,,stimuli/card_10_transparent.png,310,10,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,194.1653,5,0.7454,194.9411,left,1,,stimuli/card_100_transparent.png,410,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,196.2313,6,0.5593,196.8283,left,0.5,,stimuli/card_0_transparent.png,410,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,197.6315,7,0.6085,198.2631,left,0.5,,stimuli/card_0_transparent.png,410,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,199.0644,8,0.6664,199.7469,left,0.5,,stimuli/card_10_transparent.png,420,10,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,200.5474,9,0.6924,201.2566,left,1.5,,stimuli/card_0_transparent.png,420,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,203.0462,10,0.7351,203.8096,up,1,,stimuli/card_100_transparent.png,520,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,205.1122,11,0.5143,205.6408,up,1,,stimuli/card_100_transparent.png,620,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,206.9447,12,0.8638,207.8306,up,1.5,,stimuli/card_10_transparent.png,630,10,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,209.6289,13,0.7504,210.4042,right,1,,stimuli/card_10_transparent.png,640,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,211.6929,14,0.7778,212.51,up,0.5,,stimuli/card_100_transparent.png,740,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.3101,,,218.31,space,222.7687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.1011,3,"[0,4,6,3,5,7,8,1,9,2]",space,0.8398,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",441.9704,0,left,0.8571,442.8484,1.5,0.3,"[2,1,3]",0.589720957,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,,,444.6471,1,up,0.8141,445.4819,1.5,0.3,"[2,1,3]",0.002933096,stimuli/card_0_transparent.png,0,1,0,1,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,,,447.2809,2,right,0.7934,448.0971,1.5,0.3,"[2,1,3]",0.291817148,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,1,1,,,449.8967,3,up,1.3668,451.2961,1.5,0.3,"[2,1,3]",0.843176882,stimuli/card_100_transparent.png,100,3,0,3,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,1,,,453.0966,4,up,0.5268,453.6459,1,0.3,"[2,1,3]",0.561977044,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,
