participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,153.0375,up,0.2008,,1,,stimuli/card_100_transparent.png,500,100,6,0,6,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,154.5529,up,0.0468,,0.5,,stimuli/card_100_transparent.png,600,100,7,0,7,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,155.4176,up,0.0863,,0.5,,stimuli/card_100_transparent.png,700,100,8,0,8,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,156.3183,up,0.3821,,0.5,,stimuli/card_0_transparent.png,700,0,9,0,9,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,157.503,up,0.1158,,1.5,,stimuli/card_0_transparent.png,700,0,10,0,10,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,159.4334,up,0.7363,,0.5,,stimuli/card_0_transparent.png,700,0,11,0,11,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,160.9806,up,0.0602,,0.5,,stimuli/card_0_transparent.png,700,0,12,0,12,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,161.849,up,0.0372,,0.5,,stimuli/card_10_transparent.png,710,10,13,0,13,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,162.6968,up,0.1614,,1.5,,stimuli/card_0_transparent.png,710,0,14,0,14,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.679,0,0,0,0,1,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,169.6896,right,0.6699,,0.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,171.1718,up,0.3666,,1.5,,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,173.3547,left,0.0841,,0.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,174.2526,left,0.1677,,1.5,,stimuli/card_100_transparent.png,210,100,3,0,3,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,176.2362,left,0.2423,,1,,stimuli/card_0_transparent.png,210,0,4,0,4,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,177.7967,left,0.0339,,1.5,,stimuli/card_100_transparent.png,310,100,5,0,5,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,179.6464,left,0.7022,,1.5,,stimuli/card_0_transparent.png,310,0,6,0,6,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,182.1617,left,0.9964,,0.5,,stimuli/card_0_transparent.png,310,0,7,0,7,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,183.977,right,0.2847,,0.5,,stimuli/card_0_transparent.png,310,0,8,0,8,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,185.0766,up,0.249,,1,,stimuli/card_0_transparent.png,310,0,9,0,9,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,186.6415,right,0.2477,,1.5,,stimuli/card_10_transparent.png,320,10,10,0,10,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,188.7012,right,0.0968,,1,,stimuli/card_10_transparent.png,330,10,11,0,11,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,190.1182,right,0.3298,,1.5,,stimuli/card_10_transparent.png,340,10,12,0,12,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,192.2659,left,0.2322,,0.5,,stimuli/card_0_transparent.png,340,0,13,0,13,0,1,,,,,,,,,
,2023-10-05_14h10.16.255,slotMachine_updated,2023.1.3,MacIntel,60.04202942,,,,,,,,,,,,,,,193.3147,up,0.4171,,1.5,,stimuli/card_0_transparent.png,340,0,14,0,14,0,1,,,,,,,,,
